Trial_ID,Generation_Model,Evaluation_Model,Precision,Recall,F1
NCT00126737,gpt4-omni-ts,bert-scores-06,0.2,0.3333333333333333,0.25
NCT00126737,gpt4-omni-ts,bert-scores-07,0.15,0.25,0.18749999999999997
NCT00126737,gpt4-omni-ts,bert-scores-08,0.15,0.25,0.18749999999999997
NCT00126737,gpt4-omni-ts,bert-scores-09,0.1,0.16666666666666666,0.125
NCT00126737,gpt4-omni-ts,gpt4-omni-score,0.3,0.5,0.37499999999999994
NCT00126737,gpt4-omni-zs,bert-scores-06,0.16666666666666666,0.08333333333333333,0.1111111111111111
NCT00126737,gpt4-omni-zs,bert-scores-07,0.16666666666666666,0.08333333333333333,0.1111111111111111
NCT00126737,gpt4-omni-zs,bert-scores-08,0.16666666666666666,0.08333333333333333,0.1111111111111111
NCT00126737,gpt4-omni-zs,bert-scores-09,0.16666666666666666,0.08333333333333333,0.1111111111111111
NCT00126737,gpt4-omni-zs,gpt4-omni-score,0.3333333333333333,0.16666666666666666,0.2222222222222222
NCT00126737,gpt4-turbo-ts,bert-scores-06,0.6,0.5,0.5454545454545454
NCT00126737,gpt4-turbo-ts,bert-scores-07,0.5,0.4166666666666667,0.45454545454545453
NCT00126737,gpt4-turbo-ts,bert-scores-08,0.3,0.25,0.2727272727272727
NCT00126737,gpt4-turbo-ts,bert-scores-09,0.3,0.25,0.2727272727272727
NCT00126737,gpt4-turbo-ts,gpt4-omni-score,0.4,0.3333333333333333,0.3636363636363636
NCT00126737,gpt4-turbo-zs,bert-scores-06,0.3333333333333333,0.25,0.28571428571428575
NCT00126737,gpt4-turbo-zs,bert-scores-07,0.2222222222222222,0.16666666666666666,0.1904761904761905
NCT00126737,gpt4-turbo-zs,bert-scores-08,0.2222222222222222,0.16666666666666666,0.1904761904761905
NCT00126737,gpt4-turbo-zs,bert-scores-09,0.1111111111111111,0.08333333333333333,0.09523809523809525
NCT00126737,gpt4-turbo-zs,gpt4-omni-score,0.4444444444444444,0.3333333333333333,0.380952380952381
NCT00126737,llama3-70b-in-ts,bert-scores-06,0.46153846153846156,0.5,0.48000000000000004
NCT00126737,llama3-70b-in-ts,bert-scores-07,0.3076923076923077,0.3333333333333333,0.32
NCT00126737,llama3-70b-in-ts,bert-scores-08,0.3076923076923077,0.3333333333333333,0.32
NCT00126737,llama3-70b-in-ts,bert-scores-09,0.23076923076923078,0.25,0.24000000000000002
NCT00126737,llama3-70b-in-ts,gpt4-omni-score,0.6666666666666666,0.6666666666666666,0.6666666666666666
NCT00126737,llama3-70b-in-zs,bert-scores-06,0.4,0.3333333333333333,0.3636363636363636
NCT00126737,llama3-70b-in-zs,bert-scores-07,0.4,0.3333333333333333,0.3636363636363636
NCT00126737,llama3-70b-in-zs,bert-scores-08,0.4,0.3333333333333333,0.3636363636363636
NCT00126737,llama3-70b-in-zs,bert-scores-09,0.2,0.16666666666666666,0.1818181818181818
NCT00126737,llama3-70b-in-zs,gpt4-omni-score,0.6,0.5,0.5454545454545454
NCT00283686,gpt4-omni-ts,bert-scores-06,0.4,0.15789473684210525,0.22641509433962267
NCT00283686,gpt4-omni-ts,bert-scores-07,0.26666666666666666,0.10526315789473684,0.1509433962264151
NCT00283686,gpt4-omni-ts,bert-scores-08,0.2,0.07894736842105263,0.11320754716981134
NCT00283686,gpt4-omni-ts,bert-scores-09,0.2,0.07894736842105263,0.11320754716981134
NCT00283686,gpt4-omni-ts,gpt4-omni-score,0.2,0.07894736842105263,0.11320754716981134
NCT00283686,gpt4-omni-zs,bert-scores-06,0.19047619047619047,0.10526315789473684,0.13559322033898305
